브랜드,차종,연식,주행거리_만km,연료,사고이력,가격_만원
BMW,중형,2021,4.6,가솔린,사고이력,2250.0
기아,경차,2016,8.5,가솔린,단순수리,310.0
벤츠,중형,2022,4.6,디젤,단순수리,3170.0
기아,전기차 전용,2013,15.2,전기,무사고,680.0
현대,준중형,2025,2.2,가솔린,무사고,2290.0
벤츠,대형,2019,8.4,디젤,사고이력,2610.0
제네시스,SUV,2016,11.3,디젤,무사고,1130.0
쉐보레,경차,2008,25.3,디젤,무사고,150.0
벤츠,준중형,2012,21.3,하이브리드,무사고,520.0
르노코리아,SUV,2008,21.6,가솔린,무사고,240.0
르노코리아,중형,2017,13.5,가솔린,단순수리,620.0
기아,전기차 전용,2008,35.2,전기,단순수리,350.0
BMW,SUV,2012,11.3,디젤,무사고,820.0
쉐보레,SUV,2012,20.8,가솔린,무사고,390.0
기아,준중형,2016,12.1,가솔린,단순수리,480.0
기아,경차,2009,21.3,하이브리드,무사고,150.0
현대,중형,2008,33.7,가솔린,사고이력,200.0
BMW,준중형,2015,20.9,가솔린,무사고,730.0
테슬라,SUV,2020,4.9,전기,무사고,2930.0
현대,대형,2009,29.3,하이브리드,무사고,490.0
현대,준중형,2008,23.9,디젤,무사고,150.0
벤츠,대형,2011,25.1,하이브리드,무사고,1070.0
현대,전기차 전용,2023,4.4,전기,사고이력,2760.0
렉서스,대형,2021,10.6,LPG,무사고,3250.0
폭스바겐,SUV,2020,4.9,가솔린,무사고,2110.0
현대,중형,2021,3.2,하이브리드,무사고,2000.0
현대,준중형,2024,4.4,디젤,무사고,1710.0
벤츠,SUV,2017,12.5,가솔린,단순수리,1450.0
BMW,중형,2011,30.1,가솔린,무사고,580.0
테슬라,전기차 전용,2017,11.3,전기,무사고,2030.0
기아,중형,2010,26.9,하이브리드,사고이력,260.0
기아,전기차 전용,2020,12.1,전기,무사고,1970.0
아우디,대형,2025,2.2,가솔린,무사고,7570.0
테슬라,전기차 전용,2017,11.4,전기,단순수리,1910.0
현대,전기차 전용,2024,1.9,전기,무사고,4300.0
벤츠,중형,2024,1.8,디젤,무사고,4370.0
기아,SUV,2024,2.5,디젤,단순수리,2620.0
아우디,대형,2011,29.9,가솔린,사고이력,680.0
현대,대형,2019,7.4,디젤,단순수리,1830.0
현대,경차,2018,14.9,가솔린,무사고,330.0
기아,경차,2021,10.3,디젤,무사고,490.0
아우디,대형,2016,20.9,가솔린,무사고,1570.0
렉서스,대형,2021,5.2,디젤,단순수리,3380.0
현대,준중형,2010,19.6,가솔린,무사고,220.0
현대,대형,2025,1.5,가솔린,무사고,5190.0
BMW,대형,2017,19.8,하이브리드,무사고,2020.0
벤츠,대형,2016,16.8,가솔린,무사고,1840.0
기아,준중형,2020,9.8,디젤,무사고,910.0
기아,경차,2022,6.8,디젤,단순수리,600.0
벤츠,대형,2026,0.0,디젤,사고이력,7930.0
현대,경차,2008,33.7,가솔린,무사고,150.0
쉐보레,SUV,2024,2.8,하이브리드,무사고,2900.0
현대,준중형,2026,0.0,하이브리드,무사고,2940.0
현대,대형,2016,12.4,디젤,사고이력,870.0
BMW,대형,2024,3.2,LPG,무사고,6470.0
BMW,SUV,2022,3.4,하이브리드,무사고,4100.0
벤츠,SUV,2020,5.2,LPG,무사고,2540.0
기아,경차,2014,26.7,가솔린,무사고,180.0
기아,중형,2026,0.0,가솔린,무사고,3410.0
BMW,준중형,2017,16.1,가솔린,사고이력,710.0
기아,경차,2024,1.5,디젤,무사고,1040.0
기아,경차,2023,2.2,가솔린,단순수리,810.0
렉서스,대형,2012,18.6,가솔린,사고이력,750.0
벤츠,대형,2018,10.3,하이브리드,단순수리,2940.0
BMW,중형,2019,9.6,하이브리드,사고이력,1820.0
폭스바겐,SUV,2019,12.4,가솔린,무사고,1370.0
포르쉐,SUV,2024,2.8,디젤,무사고,8570.0
포르쉐,SUV,2014,11.1,가솔린,무사고,1870.0
현대,전기차 전용,2013,10.7,전기,무사고,900.0
기아,대형,2010,9.2,가솔린,무사고,600.0
포르쉐,SUV,2010,20.2,가솔린,무사고,1060.0
기아,준중형,2008,22.4,하이브리드,단순수리,180.0
기아,중형,2021,8.7,하이브리드,무사고,1720.0
기아,중형,2010,27.7,가솔린,무사고,320.0
기아,SUV,2014,17.9,가솔린,무사고,590.0
기아,SUV,2020,13.5,가솔린,무사고,1250.0
BMW,SUV,2026,0.0,가솔린,사고이력,5160.0
볼보,SUV,2012,24.4,가솔린,무사고,640.0
제네시스,중형,2014,17.1,디젤,무사고,670.0
렉서스,대형,2008,23.5,하이브리드,무사고,650.0
기아,준중형,2014,25.5,디젤,무사고,340.0
현대,준중형,2024,4.3,가솔린,무사고,1720.0
벤츠,대형,2018,8.1,LPG,무사고,2800.0
르노코리아,중형,2011,20.5,가솔린,무사고,310.0
기아,경차,2019,11.9,디젤,단순수리,370.0
쉐보레,SUV,2015,12.4,가솔린,무사고,640.0
현대,준중형,2013,22.4,하이브리드,무사고,360.0
아우디,중형,2009,36.7,디젤,단순수리,370.0
BMW,준중형,2014,7.4,가솔린,무사고,840.0
KG모빌리티,SUV,2016,17.0,가솔린,단순수리,590.0
쉐보레,SUV,2009,31.8,가솔린,무사고,250.0
BMW,대형,2025,1.5,디젤,단순수리,7320.0
폭스바겐,준중형,2015,12.3,가솔린,사고이력,470.0
제네시스,SUV,2015,14.7,디젤,무사고,880.0
BMW,중형,2009,27.7,가솔린,단순수리,440.0
볼보,대형,2015,12.0,디젤,단순수리,1310.0
아우디,SUV,2011,22.1,가솔린,단순수리,570.0
제네시스,중형,2024,3.8,LPG,무사고,3460.0
현대,대형,2013,13.9,가솔린,무사고,790.0
기아,경차,2010,34.3,LPG,무사고,150.0
BMW,중형,2018,4.9,디젤,단순수리,1770.0
BMW,준중형,2012,30.2,가솔린,무사고,490.0
포르쉐,SUV,2025,1.1,디젤,무사고,9850.0
현대,대형,2012,17.4,LPG,사고이력,440.0
벤츠,중형,2015,7.5,가솔린,무사고,1320.0
현대,준중형,2012,28.1,가솔린,무사고,280.0
KG모빌리티,SUV,2008,29.6,디젤,무사고,210.0
기아,경차,2012,18.9,가솔린,단순수리,150.0
현대,전기차 전용,2020,6.8,전기,사고이력,1940.0
쉐보레,중형,2013,20.1,디젤,무사고,350.0
기아,준중형,2010,12.2,가솔린,단순수리,250.0
제네시스,SUV,2018,12.9,가솔린,단순수리,1420.0
폭스바겐,SUV,2026,0.0,디젤,단순수리,4520.0
벤츠,SUV,2024,2.4,가솔린,무사고,5490.0
아우디,대형,2015,14.8,가솔린,무사고,1610.0
기아,경차,2026,0.8,디젤,단순수리,1220.0
벤츠,준중형,2025,2.4,가솔린,단순수리,3620.0
KG모빌리티,중형,2019,8.0,디젤,단순수리,940.0
렉서스,SUV,2019,15.7,디젤,단순수리,1350.0
기아,전기차 전용,2018,8.8,전기,무사고,1600.0
BMW,중형,2015,7.1,가솔린,무사고,1330.0
BMW,대형,2022,5.3,LPG,무사고,4410.0
폭스바겐,SUV,2011,28.3,LPG,사고이력,330.0
아우디,SUV,2014,18.5,가솔린,무사고,830.0
현대,경차,2012,28.7,하이브리드,단순수리,160.0
제네시스,SUV,2024,2.3,하이브리드,무사고,4640.0
렉서스,SUV,2016,19.1,가솔린,무사고,1000.0
포르쉐,SUV,2008,30.8,LPG,무사고,670.0
현대,경차,2018,16.0,가솔린,무사고,300.0
KG모빌리티,중형,2019,6.0,하이브리드,무사고,1150.0
기아,중형,2010,12.8,가솔린,단순수리,340.0
테슬라,전기차 전용,2020,5.2,전기,사고이력,3050.0
제네시스,중형,2014,16.5,LPG,무사고,640.0
쉐보레,경차,2010,17.8,가솔린,무사고,150.0
현대,전기차 전용,2008,17.2,전기,무사고,400.0
벤츠,대형,2026,0.5,디젤,무사고,9420.0
KG모빌리티,중형,2023,3.2,LPG,무사고,1870.0
폭스바겐,준중형,2023,5.1,디젤,단순수리,1780.0
기아,경차,2011,17.2,디젤,단순수리,150.0
벤츠,준중형,2013,18.0,가솔린,무사고,560.0
기아,SUV,2018,4.9,가솔린,단순수리,1240.0
기아,중형,2010,34.9,디젤,무사고,300.0
렉서스,대형,2015,17.5,디젤,무사고,1190.0
테슬라,SUV,2024,2.7,전기,무사고,4790.0
볼보,대형,2013,16.6,가솔린,무사고,970.0
벤츠,대형,2010,15.5,가솔린,무사고,930.0
아우디,중형,2009,34.5,가솔린,단순수리,420.0
BMW,준중형,2018,13.2,디젤,단순수리,1010.0
볼보,SUV,2026,0.0,디젤,무사고,5320.0
아우디,준중형,2025,0.6,가솔린,무사고,3380.0
르노코리아,준중형,2018,13.9,가솔린,무사고,510.0
포르쉐,SUV,2025,1.0,가솔린,단순수리,9440.0
현대,경차,2015,9.8,가솔린,단순수리,260.0
기아,SUV,2018,11.1,LPG,무사고,1030.0
벤츠,SUV,2021,5.0,가솔린,사고이력,2780.0
제네시스,대형,2018,4.6,디젤,무사고,2740.0
벤츠,SUV,2019,12.9,디젤,단순수리,1760.0
기아,준중형,2012,11.8,가솔린,단순수리,290.0
현대,준중형,2014,11.0,가솔린,무사고,420.0
제네시스,SUV,2019,13.6,디젤,무사고,1600.0
BMW,준중형,2013,22.4,가솔린,사고이력,460.0
기아,전기차 전용,2022,6.0,전기,무사고,3130.0
BMW,대형,2018,4.4,하이브리드,단순수리,3110.0
렉서스,대형,2023,4.3,디젤,무사고,4930.0
BMW,중형,2025,1.5,하이브리드,무사고,5420.0
벤츠,준중형,2022,4.9,디젤,단순수리,2270.0
현대,SUV,2011,11.4,하이브리드,단순수리,430.0
BMW,SUV,2011,17.2,하이브리드,무사고,720.0
포르쉐,SUV,2021,3.6,디젤,무사고,5700.0
렉서스,SUV,2017,12.4,가솔린,단순수리,1220.0
제네시스,중형,2015,10.8,디젤,무사고,890.0
볼보,중형,2026,0.4,가솔린,무사고,4910.0
테슬라,SUV,2021,6.0,전기,무사고,2950.0
쉐보레,중형,2012,29.1,디젤,무사고,350.0
BMW,SUV,2017,6.8,가솔린,무사고,1980.0
현대,중형,2013,17.9,가솔린,무사고,420.0
현대,대형,2010,34.8,가솔린,무사고,510.0
현대,경차,2013,20.9,하이브리드,사고이력,150.0
기아,경차,2009,13.4,하이브리드,사고이력,150.0
볼보,SUV,2018,15.0,가솔린,무사고,1400.0
쉐보레,준중형,2014,13.5,LPG,무사고,300.0
아우디,중형,2018,5.7,가솔린,무사고,1730.0
기아,준중형,2022,7.7,가솔린,무사고,1380.0
아우디,SUV,2018,7.9,가솔린,무사고,1800.0
테슬라,SUV,2018,12.6,전기,단순수리,1630.0
현대,경차,2019,12.0,가솔린,단순수리,390.0
현대,경차,2010,13.9,가솔린,단순수리,150.0
포르쉐,SUV,2011,22.7,하이브리드,단순수리,1190.0
현대,전기차 전용,2008,23.4,전기,무사고,370.0
테슬라,전기차 전용,2024,4.4,전기,무사고,5600.0
벤츠,SUV,2020,6.6,가솔린,무사고,2810.0
쉐보레,경차,2019,15.2,디젤,단순수리,270.0
벤츠,대형,2017,12.9,하이브리드,사고이력,1890.0
기아,경차,2011,28.4,가솔린,단순수리,150.0
쉐보레,준중형,2015,15.0,가솔린,무사고,400.0
르노코리아,준중형,2025,1.5,가솔린,단순수리,1690.0
현대,중형,2011,7.4,LPG,단순수리,370.0
렉서스,SUV,2022,4.3,디젤,무사고,3090.0
벤츠,대형,2011,18.9,디젤,사고이력,790.0
BMW,준중형,2019,11.1,가솔린,단순수리,1300.0
KG모빌리티,중형,2024,4.3,가솔린,무사고,2090.0
쉐보레,SUV,2011,12.0,하이브리드,단순수리,400.0
현대,SUV,2010,10.5,가솔린,무사고,440.0
르노코리아,중형,2023,2.3,LPG,무사고,1840.0
포르쉐,스포츠카,2018,8.1,가솔린,무사고,7540.0
렉서스,대형,2020,6.8,디젤,사고이력,2540.0
기아,대형,2024,3.7,가솔린,무사고,4090.0
기아,전기차 전용,2024,1.2,전기,사고이력,3710.0
벤츠,준중형,2026,0.0,가솔린,사고이력,3960.0
현대,SUV,2008,20.5,가솔린,단순수리,250.0
제네시스,중형,2010,34.6,가솔린,무사고,470.0
폭스바겐,준중형,2023,4.8,가솔린,단순수리,1820.0
BMW,준중형,2026,0.0,디젤,사고이력,3550.0
아우디,준중형,2009,18.2,하이브리드,단순수리,320.0
쉐보레,준중형,2015,20.4,디젤,단순수리,340.0
기아,준중형,2022,2.9,가솔린,무사고,1570.0
테슬라,SUV,2008,34.8,전기,단순수리,430.0
BMW,중형,2010,7.2,LPG,무사고,630.0
현대,SUV,2025,0.8,디젤,무사고,3060.0
제네시스,SUV,2014,20.5,가솔린,무사고,770.0
아우디,준중형,2023,5.7,디젤,무사고,2480.0
벤츠,대형,2025,0.0,하이브리드,무사고,10160.0
KG모빌리티,SUV,2026,0.2,가솔린,무사고,3400.0
기아,대형,2026,0.0,LPG,단순수리,4820.0
볼보,SUV,2008,33.8,디젤,무사고,340.0
현대,경차,2016,11.7,가솔린,무사고,280.0
폭스바겐,준중형,2010,24.1,가솔린,무사고,280.0
쉐보레,SUV,2017,6.7,가솔린,단순수리,920.0
아우디,대형,2016,9.0,가솔린,무사고,2220.0
아우디,중형,2016,9.3,가솔린,무사고,1370.0
제네시스,SUV,2010,15.0,가솔린,단순수리,470.0
기아,대형,2012,26.6,디젤,무사고,560.0
쉐보레,중형,2017,12.0,하이브리드,단순수리,770.0
KG모빌리티,SUV,2020,5.7,하이브리드,무사고,1600.0
볼보,SUV,2016,21.2,가솔린,무사고,1000.0
기아,SUV,2025,0.9,디젤,무사고,3360.0
제네시스,중형,2026,0.3,가솔린,무사고,5510.0
벤츠,SUV,2016,9.6,가솔린,단순수리,1560.0
기아,중형,2017,8.1,LPG,단순수리,840.0
KG모빌리티,SUV,2012,24.1,가솔린,무사고,380.0
벤츠,준중형,2012,28.0,가솔린,무사고,530.0
기아,SUV,2017,8.5,하이브리드,무사고,1200.0
현대,SUV,2010,23.8,가솔린,무사고,330.0
BMW,중형,2020,12.1,디젤,무사고,1880.0
기아,대형,2026,0.0,가솔린,단순수리,5160.0
포르쉐,스포츠카,2021,4.0,디젤,무사고,11990.0
벤츠,중형,2022,4.3,가솔린,무사고,3600.0
현대,경차,2013,18.0,가솔린,단순수리,160.0
폭스바겐,준중형,2019,9.3,하이브리드,무사고,1100.0
볼보,중형,2022,5.9,가솔린,무사고,2730.0
쉐보레,준중형,2008,14.8,디젤,무사고,150.0
기아,전기차 전용,2009,23.7,전기,단순수리,420.0
포르쉐,SUV,2026,0.0,가솔린,단순수리,10470.0
기아,SUV,2013,11.3,디젤,무사고,580.0
현대,SUV,2010,18.5,디젤,무사고,340.0
기아,중형,2014,19.6,디젤,사고이력,360.0
BMW,SUV,2023,3.4,LPG,무사고,3830.0
렉서스,SUV,2025,2.1,가솔린,사고이력,3980.0
벤츠,대형,2015,20.4,하이브리드,무사고,1690.0
쉐보레,경차,2008,30.1,디젤,무사고,150.0
BMW,준중형,2013,11.8,가솔린,단순수리,560.0
제네시스,중형,2021,5.9,가솔린,사고이력,1910.0
기아,중형,2025,0.7,하이브리드,무사고,3540.0
벤츠,중형,2014,11.7,LPG,무사고,920.0
벤츠,SUV,2021,4.5,가솔린,단순수리,3040.0
현대,중형,2020,4.8,가솔린,단순수리,1490.0
폭스바겐,중형,2026,0.3,가솔린,사고이력,3790.0
포르쉐,SUV,2022,4.0,LPG,단순수리,5820.0
BMW,SUV,2025,0.2,가솔린,무사고,5680.0
르노코리아,준중형,2012,29.2,하이브리드,무사고,240.0
아우디,준중형,2021,7.6,하이브리드,무사고,2100.0
벤츠,준중형,2020,6.8,가솔린,단순수리,1790.0
기아,대형,2019,5.9,LPG,무사고,1820.0
르노코리아,SUV,2015,19.9,디젤,무사고,490.0
BMW,SUV,2014,5.1,가솔린,무사고,1290.0
폭스바겐,중형,2011,17.5,가솔린,사고이력,330.0
벤츠,준중형,2026,0.0,가솔린,단순수리,4600.0
벤츠,SUV,2025,1.0,가솔린,단순수리,6090.0
BMW,준중형,2012,20.1,LPG,무사고,410.0
쉐보레,SUV,2010,34.6,가솔린,무사고,300.0
포르쉐,스포츠카,2017,5.6,LPG,사고이력,5340.0
BMW,중형,2009,25.4,하이브리드,사고이력,380.0
쉐보레,경차,2009,19.0,가솔린,사고이력,150.0
볼보,대형,2009,23.7,LPG,무사고,520.0
벤츠,준중형,2021,8.4,가솔린,단순수리,1890.0
BMW,대형,2013,12.8,디젤,무사고,1370.0
BMW,SUV,2014,13.5,가솔린,무사고,1070.0
기아,전기차 전용,2025,1.6,전기,단순수리,4590.0
쉐보레,SUV,2020,12.6,하이브리드,무사고,1270.0
BMW,준중형,2008,32.1,가솔린,무사고,290.0
기아,SUV,2019,10.5,가솔린,단순수리,1100.0
KG모빌리티,중형,2017,13.3,디젤,사고이력,540.0
기아,SUV,2012,15.3,디젤,무사고,400.0
제네시스,대형,2020,10.4,가솔린,무사고,3180.0
벤츠,준중형,2019,9.5,하이브리드,단순수리,1540.0
KG모빌리티,중형,2015,10.4,가솔린,무사고,580.0
테슬라,SUV,2015,12.7,전기,단순수리,1120.0
볼보,중형,2010,33.4,가솔린,단순수리,380.0
쉐보레,SUV,2011,7.4,가솔린,무사고,460.0
제네시스,SUV,2015,12.0,LPG,무사고,1020.0
벤츠,SUV,2019,6.1,하이브리드,무사고,2770.0
폭스바겐,SUV,2013,24.4,하이브리드,무사고,630.0
벤츠,준중형,2011,32.0,가솔린,무사고,480.0
BMW,SUV,2024,1.2,가솔린,단순수리,4720.0
현대,경차,2026,0.0,LPG,무사고,1200.0
현대,중형,2015,6.5,가솔린,단순수리,770.0
벤츠,SUV,2011,26.8,가솔린,무사고,720.0
테슬라,SUV,2020,13.2,전기,무사고,2190.0
기아,전기차 전용,2017,8.1,전기,단순수리,1370.0
제네시스,SUV,2016,17.5,가솔린,무사고,1040.0
제네시스,중형,2017,6.6,가솔린,사고이력,1140.0
기아,전기차 전용,2022,8.8,전기,무사고,2810.0
쉐보레,SUV,2020,5.9,가솔린,단순수리,1350.0
기아,대형,2016,17.1,디젤,단순수리,880.0
포르쉐,SUV,2024,1.9,가솔린,무사고,9010.0
테슬라,전기차 전용,2024,2.5,전기,무사고,6340.0
현대,SUV,2025,1.2,디젤,무사고,3360.0
르노코리아,준중형,2011,23.4,디젤,무사고,200.0
폭스바겐,중형,2010,19.9,가솔린,무사고,390.0
기아,대형,2023,4.1,가솔린,무사고,3380.0
테슬라,전기차 전용,2024,4.3,전기,무사고,6250.0
벤츠,SUV,2010,32.8,가솔린,사고이력,490.0
제네시스,대형,2018,18.0,하이브리드,무사고,1940.0
쉐보레,준중형,2018,6.8,디젤,무사고,710.0
폭스바겐,중형,2015,14.5,디젤,무사고,680.0
현대,중형,2015,24.7,가솔린,무사고,580.0
쉐보레,준중형,2016,16.8,가솔린,무사고,430.0
포르쉐,SUV,2023,4.3,디젤,단순수리,6880.0
폭스바겐,준중형,2011,25.9,디젤,단순수리,270.0
BMW,대형,2013,8.1,LPG,단순수리,1310.0
현대,준중형,2013,25.0,LPG,무사고,290.0
아우디,대형,2012,29.8,가솔린,무사고,1060.0
BMW,SUV,2022,7.2,하이브리드,사고이력,2820.0
아우디,대형,2013,14.0,하이브리드,무사고,1320.0
벤츠,중형,2010,29.2,가솔린,무사고,590.0
기아,대형,2009,36.1,디젤,무사고,430.0
벤츠,대형,2020,11.8,가솔린,무사고,3540.0
KG모빌리티,SUV,2014,15.2,가솔린,무사고,470.0
기아,대형,2023,3.7,하이브리드,무사고,3760.0
폭스바겐,SUV,2018,14.4,LPG,무사고,1130.0
벤츠,중형,2011,31.7,하이브리드,단순수리,630.0
현대,경차,2025,1.4,가솔린,단순수리,1060.0
BMW,중형,2020,6.1,가솔린,사고이력,2090.0
기아,준중형,2018,10.3,가솔린,무사고,770.0
현대,전기차 전용,2018,4.4,전기,무사고,2040.0
쉐보레,준중형,2010,31.2,디젤,단순수리,170.0
BMW,중형,2008,15.8,디젤,무사고,370.0
테슬라,SUV,2010,15.9,전기,무사고,550.0
포르쉐,SUV,2014,15.9,디젤,단순수리,1490.0
BMW,중형,2020,10.5,하이브리드,무사고,2400.0
벤츠,중형,2013,26.8,가솔린,단순수리,710.0
쉐보레,준중형,2014,24.9,디젤,단순수리,290.0
테슬라,SUV,2023,3.1,전기,무사고,3940.0
기아,준중형,2019,6.0,가솔린,무사고,870.0
볼보,대형,2014,9.8,가솔린,단순수리,1320.0
현대,중형,2024,3.2,하이브리드,단순수리,2660.0
쉐보레,경차,2015,15.4,가솔린,사고이력,170.0
쉐보레,SUV,2012,25.0,가솔린,무사고,400.0
BMW,SUV,2009,12.1,디젤,단순수리,500.0
벤츠,준중형,2025,2.0,디젤,무사고,3470.0
기아,대형,2025,1.8,가솔린,무사고,4560.0
BMW,중형,2010,21.3,가솔린,무사고,480.0
기아,대형,2026,0.0,가솔린,무사고,5950.0
기아,중형,2016,16.5,LPG,사고이력,430.0
기아,준중형,2011,12.3,디젤,무사고,260.0
기아,전기차 전용,2026,0.0,전기,단순수리,5290.0
벤츠,중형,2019,14.5,가솔린,사고이력,1340.0
현대,중형,2021,8.9,하이브리드,단순수리,1450.0
BMW,대형,2022,7.3,가솔린,단순수리,4440.0
현대,경차,2023,4.8,가솔린,무사고,890.0
르노코리아,준중형,2010,18.2,가솔린,무사고,190.0
기아,SUV,2014,16.3,가솔린,무사고,520.0
기아,대형,2021,3.6,디젤,무사고,2520.0
기아,대형,2009,23.8,하이브리드,무사고,490.0
아우디,대형,2017,18.5,가솔린,무사고,1820.0
기아,경차,2018,10.5,하이브리드,무사고,420.0
기아,경차,2022,6.5,디젤,무사고,700.0
BMW,대형,2015,18.2,하이브리드,무사고,1720.0
쉐보레,SUV,2022,7.7,가솔린,무사고,1700.0
제네시스,중형,2011,22.4,가솔린,단순수리,460.0
쉐보레,경차,2023,6.3,가솔린,무사고,780.0
벤츠,중형,2022,6.3,가솔린,단순수리,3270.0
기아,준중형,2019,4.6,가솔린,단순수리,880.0
BMW,준중형,2020,5.9,하이브리드,단순수리,1780.0
벤츠,대형,2018,11.8,디젤,무사고,2570.0
현대,전기차 전용,2013,9.8,전기,단순수리,830.0
현대,경차,2022,8.2,하이브리드,사고이력,600.0
포르쉐,SUV,2026,1.1,하이브리드,단순수리,12370.0
제네시스,중형,2015,15.9,하이브리드,단순수리,850.0
테슬라,SUV,2011,31.3,전기,무사고,600.0
BMW,SUV,2015,7.3,디젤,무사고,1400.0
현대,중형,2010,12.6,하이브리드,무사고,390.0
BMW,SUV,2023,6.8,가솔린,무사고,3970.0
KG모빌리티,SUV,2011,30.9,가솔린,무사고,310.0
제네시스,SUV,2024,3.4,가솔린,무사고,4100.0
제네시스,대형,2020,7.4,하이브리드,무사고,3460.0
렉서스,중형,2021,3.4,디젤,사고이력,2060.0
현대,경차,2017,6.8,디젤,단순수리,320.0
아우디,준중형,2021,10.1,가솔린,무사고,1630.0
기아,전기차 전용,2014,9.6,전기,사고이력,830.0
기아,중형,2026,0.0,하이브리드,무사고,3740.0
제네시스,중형,2017,13.8,가솔린,무사고,1140.0
기아,준중형,2024,3.3,디젤,무사고,1720.0
쉐보레,중형,2016,18.6,가솔린,무사고,580.0
기아,경차,2010,34.7,LPG,무사고,150.0
쉐보레,준중형,2025,1.2,가솔린,단순수리,1940.0
벤츠,SUV,2009,29.3,가솔린,무사고,540.0
기아,준중형,2026,0.0,디젤,단순수리,2110.0
BMW,중형,2012,17.1,디젤,무사고,600.0
르노코리아,중형,2014,24.4,하이브리드,무사고,480.0
현대,경차,2013,8.7,하이브리드,단순수리,230.0
KG모빌리티,SUV,2018,12.0,디젤,단순수리,760.0
포르쉐,스포츠카,2008,21.1,가솔린,무사고,1760.0
쉐보레,SUV,2025,2.8,LPG,단순수리,2610.0
기아,경차,2017,5.2,디젤,무사고,380.0
벤츠,대형,2008,23.4,하이브리드,무사고,800.0
볼보,중형,2020,7.3,하이브리드,무사고,2290.0
테슬라,전기차 전용,2017,15.4,전기,단순수리,1710.0
현대,대형,2009,18.7,가솔린,사고이력,350.0
기아,대형,2025,0.6,가솔린,무사고,4800.0
제네시스,SUV,2019,6.5,가솔린,무사고,2210.0
제네시스,대형,2009,25.2,하이브리드,단순수리,670.0
BMW,준중형,2026,0.7,하이브리드,사고이력,3740.0
아우디,중형,2011,22.5,디젤,단순수리,470.0
기아,경차,2014,19.1,디젤,무사고,190.0
벤츠,대형,2008,20.3,가솔린,무사고,670.0
현대,경차,2009,15.8,가솔린,무사고,150.0
KG모빌리티,중형,2010,15.1,디젤,무사고,250.0
BMW,중형,2026,0.0,가솔린,단순수리,5880.0
벤츠,중형,2011,19.8,가솔린,사고이력,490.0
르노코리아,SUV,2017,12.1,가솔린,무사고,800.0
볼보,대형,2019,14.2,가솔린,단순수리,2200.0
기아,중형,2019,6.9,가솔린,단순수리,1160.0
BMW,준중형,2008,30.9,디젤,무사고,260.0
쉐보레,경차,2025,0.4,가솔린,단순수리,990.0
쉐보레,경차,2014,7.9,가솔린,무사고,250.0
르노코리아,준중형,2025,0.2,가솔린,무사고,1900.0
볼보,중형,2020,9.4,가솔린,단순수리,1630.0
현대,SUV,2013,9.9,가솔린,무사고,650.0
포르쉐,스포츠카,2017,12.0,가솔린,무사고,5940.0
제네시스,SUV,2026,0.0,디젤,단순수리,5250.0
벤츠,대형,2016,10.4,가솔린,무사고,2160.0
BMW,중형,2012,13.1,가솔린,사고이력,590.0
기아,경차,2008,35.0,가솔린,무사고,150.0
테슬라,SUV,2015,7.7,전기,무사고,1440.0
포르쉐,SUV,2026,0.0,LPG,무사고,10550.0
벤츠,중형,2008,35.2,하이브리드,단순수리,430.0
현대,대형,2023,4.7,가솔린,무사고,3480.0
벤츠,준중형,2022,8.8,가솔린,무사고,2160.0
제네시스,중형,2019,9.6,디젤,단순수리,1420.0
기아,대형,2021,9.8,가솔린,무사고,2510.0
제네시스,대형,2016,22.1,디젤,단순수리,1240.0
벤츠,준중형,2016,19.4,하이브리드,무사고,930.0
테슬라,전기차 전용,2019,11.0,전기,단순수리,2300.0
기아,전기차 전용,2025,1.3,전기,무사고,4680.0
르노코리아,준중형,2009,33.6,가솔린,무사고,160.0
볼보,SUV,2021,3.2,가솔린,무사고,2970.0
벤츠,대형,2009,30.6,가솔린,무사고,730.0
쉐보레,중형,2024,3.5,디젤,무사고,2200.0
기아,전기차 전용,2018,6.1,전기,사고이력,1430.0
아우디,준중형,2009,30.2,가솔린,단순수리,290.0
KG모빌리티,중형,2017,5.1,디젤,단순수리,730.0
제네시스,중형,2019,10.4,가솔린,무사고,1660.0
기아,준중형,2009,9.3,가솔린,단순수리,240.0
제네시스,중형,2023,5.0,하이브리드,무사고,3350.0
벤츠,준중형,2021,4.3,디젤,단순수리,1860.0
기아,경차,2016,16.0,하이브리드,무사고,270.0
폭스바겐,SUV,2022,7.3,가솔린,단순수리,2480.0
BMW,SUV,2012,30.8,가솔린,무사고,730.0
쉐보레,SUV,2017,18.3,가솔린,사고이력,600.0
기아,전기차 전용,2008,29.1,전기,무사고,370.0
벤츠,준중형,2020,9.6,하이브리드,단순수리,1760.0
벤츠,중형,2017,11.5,디젤,무사고,1370.0
벤츠,SUV,2020,7.4,가솔린,사고이력,2370.0
BMW,SUV,2015,19.3,LPG,무사고,900.0
BMW,중형,2011,22.9,가솔린,무사고,600.0
폭스바겐,준중형,2017,7.1,가솔린,단순수리,830.0
기아,대형,2022,5.1,디젤,사고이력,2400.0
기아,중형,2021,5.2,가솔린,무사고,1660.0
테슬라,전기차 전용,2012,26.6,전기,무사고,880.0
기아,경차,2011,23.1,하이브리드,무사고,150.0
현대,중형,2026,0.6,디젤,무사고,3210.0
벤츠,SUV,2009,9.8,가솔린,사고이력,550.0
아우디,대형,2014,22.0,가솔린,사고이력,1050.0
